date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:45	30685/30685	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s3.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s3.html	(from )
15:32:46	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2008%20May%202023%2015:30:50%20GMT	https://copygen.themenio.com/robots.txt		(from )
15:32:46	1449/1449	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/images/favicon.png	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/images/favicon.png	(from https://copygen.themenio.com/index-s3.html)
15:32:47	24992/24992	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index.html	(from https://copygen.themenio.com/index-s3.html)
15:32:48	17823/17823	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/images/logo-green.png	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/images/logo-green.png	(from https://copygen.themenio.com/index-s3.html)
15:32:49	3744/3744	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/images/logo-green-dark.png	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/images/logo-green-dark.png	(from https://copygen.themenio.com/index-s3.html)
15:32:49	36109/36109	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:49	33797/33797	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s4.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s4.html	(from https://copygen.themenio.com/index-s3.html)
15:32:49	34641/34641	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s5.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s5.html	(from https://copygen.themenio.com/index-s3.html)
15:32:49	535010/535010	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Sep%202023%2023:52:00%20GMT	https://copygen.themenio.com/assets/css/style-s3.css?v1.5.0	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/assets/css/style-s36572.css	(from https://copygen.themenio.com/index-s3.html)
15:32:50	28399/28399	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s6.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s6.html	(from https://copygen.themenio.com/index-s3.html)
15:32:50	36515/36515	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/index-s7.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/index-s7.html	(from https://copygen.themenio.com/index-s3.html)
15:32:50	18547/18547	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/usecase.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/usecase.html	(from https://copygen.themenio.com/index-s3.html)
15:32:51	18652/18652	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/features.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/features.html	(from https://copygen.themenio.com/index-s3.html)
15:32:51	20840/20840	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/about.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/about.html	(from https://copygen.themenio.com/index-s3.html)
15:32:51	23328/23328	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/usecase-details.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/usecase-details.html	(from https://copygen.themenio.com/index-s3.html)
15:32:52	26394/26394	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/usecase-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/usecase-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:52	43904/43904	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/usecase-details-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/usecase-details-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:52	17656/17656	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/pricing.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/pricing.html	(from https://copygen.themenio.com/index-s3.html)
15:32:53	21778/21778	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/pricing-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/pricing-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:53	20982/20982	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/blog.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/blog.html	(from https://copygen.themenio.com/index-s3.html)
15:32:53	19447/19447	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/blog-single.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/blog-single.html	(from https://copygen.themenio.com/index-s3.html)
15:32:54	16109/16109	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/contact.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/contact.html	(from https://copygen.themenio.com/index-s3.html)
15:32:54	17654/17654	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:36%20GMT	https://copygen.themenio.com/contact-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/contact-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:55	12936/12936	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/login.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/login.html	(from https://copygen.themenio.com/index-s3.html)
15:32:55	4714/4714	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/login-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/login-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:55	13181/13181	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/register.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/register.html	(from https://copygen.themenio.com/index-s3.html)
15:32:56	4957/4957	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/register-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/register-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:56	11854/11854	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/reset.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/reset.html	(from https://copygen.themenio.com/index-s3.html)
15:32:56	3588/3588	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:38%20GMT	https://copygen.themenio.com/reset-s2.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/reset-s2.html	(from https://copygen.themenio.com/index-s3.html)
15:32:57	10982/10982	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2023:52:20%20GMT	https://copygen.themenio.com/404.html	C:/My%20Web%20Sites/ai%20agent/copygen.themenio.com/404.html	(from https://copygen.themenio.com/index-s3.html)
